Timestamp;Severity;Product;Version;ErrorCode
21.09.2025 8:53:00 +03:00;High;CRM;6;55
21.09.2025 10:58:00 +03:00;Normal;TaskManager;19;16
21.09.2025 11:58:00 +03:00;High;Helper;6;24
21.09.2025 2:58:00 +03:00;Normal;Helper;17;91
21.09.2025 6:01:00 +03:00;Low;Helper;18;41
21.09.2025 12:12:00 +03:00;Normal;CRM;3;57
21.09.2025 13:28:00 +03:00;Normal;TaskManager;19;14
21.09.2025 22:49:00 +03:00;Low;Mobile;16;3
21.09.2025 9:28:00 +03:00;High;TaskManager;14;4
21.09.2025 9:06:00 +03:00;Low;Mobile;5;44
21.09.2025 9:06:00 +03:00;Low;Helper;5;77
21.09.2025 21:32:00 +03:00;High;TaskManager;20;28
21.09.2025 15:41:00 +03:00;High;Mobile;9;6
21.09.2025 5:22:00 +03:00;Low;Mobile;13;55
21.09.2025 17:06:00 +03:00;Low;TaskManager;5;26
21.09.2025 9:27:00 +03:00;Low;Mobile;10;45
21.09.2025 12:18:00 +03:00;Normal;TaskManager;16;98
21.09.2025 4:00:00 +03:00;Normal;CRM;14;13
21.09.2025 4:26:00 +03:00;Critical;Helper;13;92
21.09.2025 20:05:00 +03:00;High;TaskManager;16;50
21.09.2025 15:47:00 +03:00;Normal;Mobile;7;21
21.09.2025 10:57:00 +03:00;Low;Helper;13;12
21.09.2025 3:05:00 +03:00;Normal;TaskManager;17;92
21.09.2025 22:14:00 +03:00;High;TaskManager;2;1
21.09.2025 19:43:00 +03:00;Low;Helper;14;69
21.09.2025 10:32:00 +03:00;Critical;CRM;1;41
21.09.2025 19:36:00 +03:00;Critical;CRM;17;36
21.09.2025 11:09:00 +03:00;High;TaskManager;5;100
21.09.2025 22:17:00 +03:00;High;TaskManager;20;55
21.09.2025 18:22:00 +03:00;Normal;TaskManager;2;92
21.09.2025 21:41:00 +03:00;High;CRM;20;78
21.09.2025 9:04:00 +03:00;High;CRM;5;33
21.09.2025 7:24:00 +03:00;Normal;Helper;3;47
21.09.2025 15:39:00 +03:00;Critical;Helper;19;46
21.09.2025 1:05:00 +03:00;Normal;CRM;6;88
21.09.2025 22:27:00 +03:00;Critical;Helper;20;84
21.09.2025 13:48:00 +03:00;Low;Mobile;7;18
21.09.2025 9:29:00 +03:00;High;Helper;1;60
21.09.2025 9:48:00 +03:00;Critical;Mobile;2;33
21.09.2025 11:14:00 +03:00;Critical;Mobile;11;26
21.09.2025 4:47:00 +03:00;Low;Helper;14;97
21.09.2025 20:47:00 +03:00;Low;TaskManager;1;21
21.09.2025 23:39:00 +03:00;Critical;Mobile;11;9
21.09.2025 11:14:00 +03:00;High;Mobile;4;47
21.09.2025 17:59:00 +03:00;Low;TaskManager;17;34
21.09.2025 4:53:00 +03:00;Normal;Helper;19;80
21.09.2025 10:19:00 +03:00;Normal;CRM;12;51
21.09.2025 18:03:00 +03:00;Normal;CRM;15;29
21.09.2025 22:41:00 +03:00;Normal;Helper;8;27
21.09.2025 22:47:00 +03:00;Normal;CRM;2;16
21.09.2025 6:23:00 +03:00;Normal;Mobile;7;64
21.09.2025 23:28:00 +03:00;Critical;CRM;18;99
21.09.2025 9:16:00 +03:00;Critical;Helper;12;36
21.09.2025 11:18:00 +03:00;Low;TaskManager;17;34
21.09.2025 18:15:00 +03:00;High;Mobile;5;59
21.09.2025 23:45:00 +03:00;Low;CRM;15;86
21.09.2025 22:52:00 +03:00;Critical;Helper;3;83
21.09.2025 9:16:00 +03:00;Critical;TaskManager;5;96
21.09.2025 11:37:00 +03:00;Critical;Mobile;3;9
21.09.2025 14:54:00 +03:00;Normal;Helper;14;30
21.09.2025 14:23:00 +03:00;Low;CRM;18;77
21.09.2025 14:15:00 +03:00;Normal;CRM;3;53
21.09.2025 23:49:00 +03:00;High;TaskManager;2;62
21.09.2025 13:40:00 +03:00;High;Mobile;17;39
21.09.2025 19:36:00 +03:00;Low;TaskManager;8;17
21.09.2025 5:03:00 +03:00;Critical;TaskManager;8;90
21.09.2025 9:40:00 +03:00;Critical;Helper;15;89
21.09.2025 20:15:00 +03:00;Normal;Helper;7;95
